"sdate","Processed","A_total","B_total","All_total"
2010-01-04,9312,1999,1,2000
2010-01-11,10728,1404,15,1419
2010-01-18,9027,1135,49,1184
2010-01-25,8030,515,18,533
2010-02-01,7788,502,14,516
2010-02-08,7749,618,56,674
2010-02-15,6842,635,30,665
2010-02-22,6170,255,60,315
2010-03-01,5881,216,102,318
2010-03-08,4787,175,73,248
2010-03-15,4746,103,101,204
2010-03-22,4922,98,145,243
2010-03-29,4435,72,148,220
2010-04-05,3688,41,147,188
2010-04-12,3632,61,161,222
2010-04-19,3936,52,177,229
2010-04-26,3098,29,164,193
2010-05-03,2244,14,97,111
2010-05-10,2316,21,106,127
2010-05-17,2424,11,74,85
2010-05-24,3312,4,54,58
2010-05-31,1830,12,42,54
2010-06-07,1713,12,26,38
2010-06-14,1445,3,28,31
2010-06-21,1530,4,19,23
2010-06-28,2968,3,17,20
2010-07-05,975,3,8,11
2010-07-12,663,0,4,4
2010-07-19,711,0,5,5
2010-07-26,1954,7,3,10
2010-08-02,889,7,3,10
2010-08-09,934,0,2,2
2010-08-16,876,6,1,7
2010-08-23,1047,5,1,6
2010-08-30,2751,7,3,10
2010-09-06,1760,3,2,5
2010-09-13,2220,5,5,10
2010-09-20,2317,9,2,11
2010-09-27,2592,15,5,20
2010-10-04,2656,15,22,37
2010-10-11,3334,12,25,37
2010-10-18,3609,17,11,28
2010-10-25,3626,34,21,55
2010-11-01,3618,38,32,70
2010-11-08,4154,60,40,100
2010-11-15,4773,40,62,102
2010-11-22,6025,117,148,265
2010-11-29,6755,229,247,476
2010-12-06,7582,375,393,768
2010-12-13,7671,1217,594,1811
2010-12-20,9813,2619,1174,3793
2010-12-27,13626,3641,1644,5285
2011-01-03,16248,5078,1978,7056
2011-01-10,20427,5576,2430,8006
2011-01-17,23263,6020,2655,8675
2011-01-24,25361,7664,2970,10634
2011-01-31,28942,8061,3425,11486
2011-02-07,29955,8588,3382,11970
2011-02-14,28461,7497,2706,10203
2011-02-21,19338,5070,2244,7314
2011-02-28,20353,4739,1835,6574
2011-03-07,15063,2479,1393,3872
2011-03-14,15240,2620,1121,3741
2011-03-21,11412,1331,736,2067
2011-03-28,9275,756,525,1281
2011-04-04,7792,413,345,758
2011-04-11,6974,224,196,420
2011-04-18,5228,164,132,296
2011-04-25,4612,79,93,172
2011-05-02,3443,29,29,58
2011-05-09,3712,19,21,40
2011-05-16,3438,33,11,44
2011-05-23,2828,11,6,17
2011-05-30,2457,5,8,13
2011-06-06,2473,5,4,9
2011-06-13,1526,4,3,7
2011-06-20,1622,3,0,3
2011-06-27,1641,8,1,9
2011-07-04,1313,6,0,6
2011-07-11,1277,3,2,5
2011-07-18,1291,4,3,7
2011-07-25,790,5,0,5
2011-08-01,1593,8,3,11
2011-08-08,1079,2,5,7
2011-08-15,1190,9,6,15
2011-08-22,1094,1,1,2
2011-08-29,1000,5,2,7
2011-09-05,1264,2,1,3
2011-09-12,2073,4,4,8
2011-09-19,2303,6,0,6
2011-09-26,3570,9,2,11
2011-10-03,4676,23,8,31
2011-10-10,5501,11,8,19
2011-10-17,5759,18,7,25
2011-10-24,6363,30,17,47
2011-10-31,6573,26,15,41
2011-11-07,7256,48,18,66
2011-11-14,8184,48,14,62
2011-11-21,8780,62,13,75
2011-11-28,9530,75,21,96
2011-12-05,9494,118,11,129
2011-12-12,9627,193,23,216
2011-12-19,10150,334,24,358
2011-12-26,8074,468,16,484
2012-01-02,7215,618,25,643
2012-01-09,10030,821,42,863
2012-01-16,11452,1180,59,1239
2012-01-23,12503,1690,102,1792
2012-01-30,13571,2251,178,2429
2012-02-06,14877,3059,207,3266
2012-02-13,16664,3990,268,4258
2012-02-20,17727,5001,343,5344
2012-02-27,18759,5244,357,5601
2012-03-05,15821,4053,390,4443
2012-03-12,16521,3895,462,4357
2012-03-19,15456,3252,566,3818
2012-03-26,13648,2785,502,3287
2012-04-02,11797,1782,420,2202
2012-04-09,10399,1487,331,1818
2012-04-16,9718,1163,341,1504
2012-04-23,7570,693,206,899
2012-04-30,6059,464,148,612
2012-05-07,5205,220,106,326
2012-05-14,5171,131,89,220
2012-05-21,4085,111,58,169
2012-05-28,4039,56,50,106
2012-06-04,3681,48,62,110
2012-06-11,3016,21,56,77
2012-06-18,3124,24,24,48
2012-06-25,3039,6,24,30
2012-07-02,2661,8,12,20
2012-07-09,2627,5,10,15
2012-07-16,2653,5,16,21
2012-07-23,2562,12,7,19
2012-07-30,2557,12,16,28
2012-08-06,2223,11,10,21
2012-08-13,2277,9,4,13
2012-08-20,2214,13,2,15
2012-08-27,2192,7,3,10
2012-09-03,2766,6,4,10
2012-09-10,2935,4,9,13
2012-09-17,3794,14,18,32
2012-09-24,3868,13,19,32
2012-10-01,6720,14,7,21
2012-10-08,7674,28,14,42
2012-10-15,8053,40,23,63
2012-10-22,8611,52,19,71
2012-10-29,9387,77,35,112
2012-11-05,9943,96,77,173
2012-11-12,10444,92,83,175
2012-11-19,12400,154,97,251
2012-11-26,12727,141,138,279
2012-12-03,13727,287,220,507
2012-12-10,15318,622,428,1050
2012-12-17,16155,1266,716,1982
2012-12-24,13026,1605,858,2463
2012-12-31,16279,2834,1257,4091
2013-01-07,21760,3699,1369,5068
2013-01-14,23501,4148,1583,5731
2013-01-21,26479,5363,2569,7932
2013-01-28,30248,6985,3470,10455
2013-02-04,32111,7848,3885,11733
