Country, area or territory;WHO region;Influenza transmission zone; Year;Week;Start date;End date;Received/ collected;Processed;A (H1);A (H1N1)pdm09;A (H3);A (H5);A (not subtyped);A (Total);B (Yamagata lineage);B (Victoria lineage);B (lineage not determined);B (Total);Total number of influenza positive viruses;Total  number  of influenza negative viruses;ILI activity
Albania;European Region of WHO;South West Europe;2010;1;2010-01-04;2010-01-10;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;2;2010-01-11;2010-01-17;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;3;2010-01-18;2010-01-24;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;4;2010-01-25;2010-01-31;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;5;2010-02-01;2010-02-07;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;6;2010-02-08;2010-02-14;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;7;2010-02-15;2010-02-21;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;8;2010-02-22;2010-02-28;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;9;2010-03-01;2010-03-07;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;10;2010-03-08;2010-03-14;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;11;2010-03-15;2010-03-21;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;12;2010-03-22;2010-03-28;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;13;2010-03-29;2010-04-04;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;14;2010-04-05;2010-04-11;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;15;2010-04-12;2010-04-18;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;16;2010-04-19;2010-04-25;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;17;2010-04-26;2010-05-02;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;18;2010-05-03;2010-05-09;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;19;2010-05-10;2010-05-16;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;20;2010-05-17;2010-05-23;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;21;2010-05-24;2010-05-30;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;22;2010-05-31;2010-06-06;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;23;2010-06-07;2010-06-13;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;24;2010-06-14;2010-06-20;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;25;2010-06-21;2010-06-27;;;;;;;;;;;;;;;No Report
Albania;European Region of WHO;South West Europe;2010;26;2010-06-28;2010-07-04;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;1;2010-01-04;2010-01-10;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;2;2010-01-11;2010-01-17;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;3;2010-01-18;2010-01-24;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;4;2010-01-25;2010-01-31;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;5;2010-02-01;2010-02-07;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;6;2010-02-08;2010-02-14;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;7;2010-02-15;2010-02-21;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;8;2010-02-22;2010-02-28;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;9;2010-03-01;2010-03-07;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;10;2010-03-08;2010-03-14;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;11;2010-03-15;2010-03-21;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;12;2010-03-22;2010-03-28;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;13;2010-03-29;2010-04-04;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;14;2010-04-05;2010-04-11;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;15;2010-04-12;2010-04-18;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;16;2010-04-19;2010-04-25;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;17;2010-04-26;2010-05-02;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;18;2010-05-03;2010-05-09;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;19;2010-05-10;2010-05-16;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;20;2010-05-17;2010-05-23;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;21;2010-05-24;2010-05-30;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;22;2010-05-31;2010-06-06;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;23;2010-06-07;2010-06-13;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;24;2010-06-14;2010-06-20;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;25;2010-06-21;2010-06-27;;;;;;;;;;;;;;;No Report
Armenia;European Region of WHO;Western Asia;2010;26;2010-06-28;2010-07-04;;;;;;;;;;;;;;;No Report
Austria;European Region of WHO;South West Europe;2010;1;2010-01-04;2010-01-10;;;;;;;;;;;;;;;No Report
